1560928949 0
1560929552 1
1560930657 1
1560930667 0
1560930724 0
1560935857 1
1560941171 1
1560941773 3
1560942374 3
1560943001 2
1560943604 2
1560944223 2
1560944855 2
1560945474 2
1560946097 2
1560946699 3
1560947302 2
1560947903 3
1560948506 3
1560949107 3
1560949753 2
1560950355 2
1560950959 2
1560951563 2
1560952297 2
1560952899 4
1560953500 4
1560954101 5
1560954702 5
1560955308 5
1560955940 4
1560956542 3
1560957149 3
1560957767 3
1560958368 3
1560958978 4
1560959586 4
1560960188 2
1560960931 2
1560961534 2
1560962136 3
1560962742 3
1560963343 4
1560963944 4
1560964662 3
1560965285 3
1560966075 3
1560966691 3
1560968059 3
1560968664 4
1560969279 4
1560969924 4
1560970526 4
1560971193 4
1560971806 4
1560972416 4
1560973017 4
1560973619 4
1560974238 4
1560974863 4
1560975467 3
1560976086 3
1560976688 5
1560977298 4
1560977899 4
1560978508 4
1560979109 4
1560979731 4
1560980332 4
1560980936 4
1560981537 4
1560982139 5
1560982742 4
1560983348 4
1560983949 4
1560984550 4
1560985151 4
1560985752 4
1560986353 3
1560986954 3
1560987575 3
1560988178 2
1560988780 3
1560989381 2
1560990004 2
1560990613 2
1560991216 2
1560991823 2
1560992424 2
1560993026 2
1560993629 2
1560994261 3
1560994863 3
1560995465 3
1560996071 2
1560996674 2
1560997275 2
1560997877 2
1560998478 3
1560999080 3
1560999684 4
1561000285 4
1561000886 4
1561001487 4
1561002088 4
1561002694 3
1561003295 3
1561003898 3
1561004500 3
1561005102 3
1561005704 1
1561006305 2
1561006909 2
1561007510 2
1561008111 1
1561008712 1
1561009313 1
1561009919 1
1561010520 1
1561011121 1
1561011727 1
1561012328 0
1561012929 0
1561013530 0
1561014131 0
1561014732 0
1561015338 0
1561015939 0
1561016540 0
1561017141 0
1561017742 1
1561018348 1
1561018949 1
1561019550 1
1561020151 1
1561020752 0
1561021358 0
1561021959 0
1561022560 0
1561023161 0
1561023762 0
1561024363 0
1561024969 2
1561025570 2
1561026171 3
1561026772 3
1561027373 4
1561027790 0
1561028394 2
1561028995 3
1561029596 3
1561030202 3
1561030803 2
1561031404 1
1561032005 0
1561032268 0
1561032872 1
1561033474 1
1561034076 2
1561034681 2
1561035287 2
1561035888 2
1561036489 3
1561037090 3
1561037697 4
1561038299 6
1561038900 7
1561039501 8
1561040102 8
1561040704 8
1561041305 9
